arg_struc_cxn	roleset
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	condemn.01
arg0(np)-v(v)-arg2(np)-arg1(np)	wish.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	share.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	put.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	put.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	thank.01
arg0(np)-v(v)-arg1(np)-arg2(vp)	encourage.01
arg0(np)-v(v)-arg1(np)-arg2(rb)	get.05
arg0(np)-v(v)-arg1(np)-arg2(np)	call.01
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01
arg1(np)-arg0(np)-v(v)-arg2(pp)	know.01
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	feel.01
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	put.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	shock.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	awe.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	put.01
arg0(np)-v(v)-arg2(np)-arg1(np)	tell.01
arg0(np)-v(v)-arg1(np)-arg2(c("s", "vp"))	take.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	take.01
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	provide.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	respect.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	characterize.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	put.01
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01
arg0(np)-v(v)-arg1(np)-arg2(sbar)	kid.01
arg1(np)-arg0(np)-v(v)-arg2(pp)	hear.01
arg1(np)-arg0(np)-v(v)-arg2(prp)	tell.01
arg1(np)-arg0(np)-v(v)-arg2(pp)	put.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	criticize.01
arg1(np)-arg0(np)-v(v)-arg2(np)	give.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	extend.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	put.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	put.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	accuse.01
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	free.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	put.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	extend.01
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01
arg0(np)-v(v)-arg2(np)-arg1(np)	tell.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	leave.12
arg0(np)-v(v)-arg1(np)-arg2(pp)	spend.02
arg1(np)-arg0(np)-v(v)-arg2(pp)	hear.01
arg0(np)-v(v)-arg1(np)-arg2(advp)	send.01
arg0(np)-v(v)-arg1(np)-arg2(sbar)	assure.01
arg0(np)-v(v)-arg1(np)-arg2(np)	call.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	put.01
arg0(np)-v(v)-arg1(np)-arg2(rb)	send.01
arg0(np)-v(v)-arg2(np)-arg1(np)	send.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	thank.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	get.01
arg0(np)-v(v)-arg1(np)-arg2(vp)	prompt.02
arg0(np)-v(v)-arg2(rb)-arg1(np)	bring.01
arg0(np)-v(v)-arg2(rp)-arg1(np)	put.03
arg0(np)-v(v)-arg1(np)-arg2(pp)	spend.02
arg0(np)-v(v)-arg1(np)-arg2(pp)	discuss.01
arg0(np)-v(v)-arg1(np)-arg2(np)	call.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	drag.01
arg0(np)-v(v)-arg2(rp)-arg1(np)	lay.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	send.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	pose.02
arg0(np)-v(v)-arg2(np)-arg1(np)	ask.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	give.01
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01
arg0(np)-v(v)-arg2(np)-arg1(np)	tell.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	hear.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	charge.05
arg0(np)-v(v)-arg1(np)-arg2(pp)	thank.01
arg0(np)-v(v)-arg2(np)-arg1(np)	show.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	accept.01
arg0(np)-v(v)-arg2(np)-arg1(np)	tell.01
arg0(np)-v(v)-arg1(np)-arg2(dt)	promise.01
arg0(np)-v(v)-arg1(np)-arg2(c("sbar", "s"))	promise.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	get.01
arg0(np)-v(v)-arg2(np)-arg1(np)	tell.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	sue.02
arg0(np)-v(v)-arg1(np)-arg2(pp)	serve.04
arg0(np)-v(v)-arg1(np)-arg2(pp)	take.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	take.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	blame.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	fault.01
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01
arg0(np)-v(v)-arg1(np)-arg2(c("sbar", "s"))	assure.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	condemn.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	blame.01
arg1(np)-arg0(np)-v(v)-arg2(rb)	think.01
arg0(np)-v(v)-arg2(np)-arg1(np)	ask.01
arg1(np)-arg0(np)-v(v)-arg2(pp)	share.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	put.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	link.01
arg0(np)-v(v)-arg1(np)-arg2(c("s", "vp"))	force.01
arg0(np)-v(v)-arg2(np)-arg1(np)	tell.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	take.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	force.01
arg0(np)-v(v)-arg1(np)-arg2(rb)	put.03
arg0(np)-v(v)-arg1(np)-arg2(pp)	put.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	take.01
arg0(np)-v(v)-arg2(np)-arg1(np)	wish.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	register.02
arg0(np)-v(v)-arg1(np)-arg2(sbar)	convince.01
arg0(np)-v(v)-arg2(np)-arg1(np)	leave.12
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01
arg0(np)-v(v)-arg2(rp)-arg1(np)	lay.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	press.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	take.01
arg0(np)-v(v)-arg1(np)-arg2(np)	consider.02
arg0(np)-v(v)-arg1(np)-arg2(pp)	respect.01
arg1(np)-arg0(np)-v(v)-arg2(pp)	hear.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	charge.05
arg0(np)-v(v)-arg2(np)-arg1(np)	tell.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	compare.01
arg0(np)-v(v)-arg1(np)-arg2(vp)	hold.03
arg0(np)-v(v)-arg1(np)-arg2(pp)	solve.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	pay.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	register.02
arg1(np)-arg0(np)-v(v)-arg2(pp)	require.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	put.01
arg0(np)-v(v)-arg1(np)-arg2(rb)	get.05
arg0(np)-v(v)-arg1(np)-arg2(pp)	keep.04
arg0(np)-v(v)-arg1(np)-arg2(np)	call.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	put.01
arg0(np)-v(v)-arg1(np)-arg2(np)	call.01
arg0(np)-v(v)-arg2(np)-arg1(np)	ask.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	separate.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	drive.02
arg0(np)-v(v)-arg1(np)-arg2(pp)	pay.01
arg0(np)-v(v)-arg2(np)-arg1(np)	ask.01
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01
arg2(wp)-arg0(np)-v(v)-arg1(np)	call.01
arg1(np)-arg0(np)-v(v)-arg2(np)	ask.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	put.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	put.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	learn.01
arg0(np)-v(v)-arg1(np)-arg2(rb)	spend.02
arg0(np)-v(v)-arg1(np)-arg2(pp)	spend.02
arg0(np)-v(v)-arg2(np)-arg1(np)	tell.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	breathe.01
arg0(np)-v(v)-arg1(np)-arg2(in)	breathe.01
arg2(wdt)-arg0(np)-v(v)-arg1(np)	call.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	send.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	accuse.01
arg0(np)-v(v)-arg2(np)-arg1(np)	ask.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	educate.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	stick.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	take.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	accuse.01
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01
arg1(np)-arg0(np)-v(v)-arg2(np)	give.01
arg1(np)-arg0(np)-v(v)-arg2(np)	give.01
arg1(np)-arg0(np)-v(v)-arg2(np)	give.01
arg1(np)-arg0(np)-v(v)-arg2(np)	give.01
arg0(np)-v(v)-arg1(np)-arg2(vp)	call.01
arg0(np)-v(v)-arg1(np)-arg2(c("s", "vp"))	urge.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	punish.01
arg0(np)-v(v)-arg1(np)-arg2(np)	call.01
arg0(np)-v(v)-arg1(np)-arg2(np)	call.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	put.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	put.01
arg0(np)-v(v)-arg1(np)-arg2(c("s", "vp"))	invite.01
arg0(np)-v(v)-arg1(np)-arg2(c("s", "vp"))	spend.02
arg0(np)-v(v)-arg1(np)-arg2(pp)	spend.02
arg0(np)-v(v)-arg1(np)-arg2(pp)	remove.01
arg0(np)-v(v)-arg2(np)-arg1(np)	tell.01
arg0(np)-v(v)-arg2(pp)-arg1(np)	request.01
arg0(np)-v(v)-arg1(np)-arg2(rp)	get.05
arg0(np)-v(v)-arg1(np)-arg2(pp)	get.01
arg0(np)-v(v)-arg1(np)-arg2(c("s", "vp"))	use.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	use.01
arg0(np)-v(v)-arg1(np)-arg2(np)	call.01
arg0(np)-v(v)-arg1(np)-arg2(np)	call.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	take.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	put.01
arg0(np)-v(v)-arg2(np)-arg1(np)	tell.01
arg2(wrb)-arg0(np)-v(v)-arg1(np)	take.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	convey.01
arg2(wp)-arg0(np)-v(v)-arg1(np)	call.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	collect.01
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	look.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	stop.03
arg0(np)-v(v)-arg1(np)-arg2(pp)	delay.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	take.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	get.05
arg0(np)-v(v)-arg1(np)-arg2(pp)	keep.04
arg0(np)-v(v)-arg1(np)-arg2(pp)	keep.04
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	talk.02
arg0(np)-v(v)-arg1(np)-arg2(pp)	thank.01
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	do.02
arg0(np)-v(v)-arg1(np)-arg2(pp)	blame.01
arg2(wdt)-arg0(np)-v(v)-arg1(np)	call.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	take.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	view.02
arg0(np)-v(v)-arg1(np)-arg2(np)	elect.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	entrust.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	put.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	spend.02
arg0(np)-v(v)-arg1(np)-arg2(pp)	subject.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	send.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	give.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	take.01
arg0(np)-v(v)-arg2(np)-arg1(np)	show.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	get.05
arg0(np)-v(v)-arg1(np)-arg2(pp)	hold.03
arg0(np)-v(v)-arg1(np)-arg2(rb)	get.05
arg0(np)-v(v)-arg1(np)-arg2(pp)	hold.03
arg0(np)-v(v)-arg2(np)-arg1(np)	tell.01
arg0(np)-arg2(np)-v(v)-arg1(np)	finance.01
arg0(np)-v(v)-arg2(np)-arg1(np)	show.01
arg0(np)-v(v)-arg1(np)-arg2(c("s", "vp"))	spend.02
arg0(np)-v(v)-arg1(np)-arg2(advp)	leave.12
arg0(np)-v(v)-arg1(np)-arg2(vp)	take.01
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01
arg0(np)-v(v)-arg1(np)-arg2(rp)	put.01
arg1(np)-arg0(np)-v(v)-arg2(np)	tell.01
arg0(np)-v(v)-arg2(np)-arg1(np)	show.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	credit.01
arg0(np)-v(v)-arg2(np)-arg1(np)	ask.01
arg0(np)-v(v)-arg2(np)-arg1(np)	show.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	put.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	take.01
arg0(np)-v(v)-arg1(np)-arg2(rb)	leave.12
arg0(np)-v(v)-arg1(np)-arg2(sbar)	convince.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	take.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	protect.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	drag.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	define.01
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	consider.02
arg0(np)-v(v)-arg1(np)-arg2(vp)	convince.01
arg0(np)-v(v)-arg2(rp)-arg1(np)	put.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	receive.01
v(v)-arg1(np)-arg2(pp)-arg0(np)	add.02
arg0(np)-v(v)-arg1(np)-arg2(pp)	apply.02
arg0(np)-v(v)-arg1(np)-arg2(pp)	guide.01
arg0(np)-v(v)-arg1(np)-arg2(sbar)	criticize.01
arg0(np)-v(v)-arg1(np)-arg2(c("s", "vp"))	use.01
arg0(np)-v(v)-arg1(np)-arg2(sbar)	accuse.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	level.03
arg0(np)-v(v)-arg1(np)-arg2(pp)	get.05
arg0(np)-v(v)-arg2(rb)-arg1(np)	put.03
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01
arg1(np)-arg0(np)-v(v)-arg2(pp)	receive.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	bring.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	push.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	give.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	sell.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	rent.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	sell.01
arg0(np)-v(v)-arg1(np)-arg2(c("s", "vp"))	use.01
arg0(np)-v(v)-arg1(np)-arg2(sbar)	inform.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	direct.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	incorporate.02
arg2(wrb)-arg0(np)-v(v)-arg1(np)	appraise.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	see.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	declare.01
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	place.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	rate.01
arg0(np)-v(v)-arg1(np)-arg2(dt)	rate.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	compare.01
arg2(wrb)-arg0(np)-v(v)-arg1(np)	view.02
arg0(np)-v(v)-arg1(np)-arg2(pp)	use.01
arg0(np)-v(v)-arg2(np)-arg1(np)	tell.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	steal.01
arg0(np)-arg2(rb)-v(v)-arg1(np)	increase.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	display.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	push.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	compare.01
arg1(np)-arg0(np)-v(v)-arg2(np)	tell.01
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01
arg0(np)-v(v)-arg2(np)-arg1(np)	tell.01
arg2(wrb)-arg0(np)-v(v)-arg1(np)	view.02
arg0(np)-v(v)-arg1(np)-arg2(pp)	see.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	represent.01
arg0(np)-v(v)-arg1(np)-arg2(np)	call.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	put.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	donate.01
arg0(np)-v(v)-arg1(np)-arg2(c("s", "vp"))	spend.02
arg2(pp)-arg0(np)-v(v)-arg1(np)	choose.01
arg0(np)-v(v)-arg2(rp)-arg1(np)	take.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	provide.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	provide.01
arg0(np)-v(v)-arg1(np)-arg2(pp)	take.01
