arg_struc_cxn	roleset	lemma
arg0(np)-v(v)-arg1(np)-arg2(pp)	bring.01	bring
arg0(np)-v(v)-arg1(np)-arg2(pp)	buy.01	buy
arg0(np)-v(v)-arg1(np)-arg2(pp)	steal.01	steal
arg0(np)-v(v)-arg1(np)-arg2(pp)	provide.01	provide
arg0(np)-v(v)-arg1(np)-arg2(pp)	introduce.01	introduce
arg0(np)-v(v)-arg1(np)-arg2(pp)	do.02	do
arg0(np)-v(v)-arg1(np)-arg2(pp)	depict.01	depict
arg0(np)-v(v)-arg1(np)-arg2(pp)	get.01	get
arg0(np)-v(v)-arg1(np)-arg2(pp)	import.01	import
arg0(np)-v(v)-arg1(np)-arg2(pp)	get.01	get
arg0(np)-v(v)-arg2(np)-arg1(np)	provide.01	provide
arg0(np)-v(v)-arg1(np)-arg2(pp)	buy.01	buy
arg0(np)-v(v)-arg1(np)-arg2(vp)	prompt.02	prompt
arg0(np)-v(v)-arg1(np)-arg2(pp)	secure.01	secure
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01	give
arg0(np)-v(v)-arg1(np)-arg2(pp)	put.01	put
arg0(np)-v(v)-arg1(np)-arg2(rb)	take.01	take
arg0(np)-v(v)-arg1(np)-arg2(vp)	lead.03	lead
arg0(np)-v(v)-arg2(np)-arg1(np)	show.01	show
arg0(np)-v(v)-arg1(np)-arg2(np)	call.01	call
arg0(np)-v(v)-arg1(np)-arg2(pp)	give.01	give
arg0(np)-v(v)-arg1(np)-arg2(c("s", "vp"))	invite.01	invite
arg0(np)-v(v)-arg1(np)-arg2(pp)	put.01	put
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01	give
arg0(np)-v(v)-arg1(np)-arg2(pp)	explain.01	explain
arg0(np)-v(v)-arg1(np)-arg2(pp)	keep.04	keep
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01	give
arg0(np)-v(v)-arg1(np)-arg2(c("s", "vp"))	spend.02	spend
arg0(np)-v(v)-arg1(np)-arg2(vp)	convince.01	convince
arg0(np)-v(v)-arg1(np)-arg2(pp)	save.02	save
arg0(np)-v(v)-arg1(np)-arg2(pp)	contribute.01	contribute
arg0(np)-v(v)-arg1(np)-arg2(pp)	infuse.01	infuse
arg0(np)-v(v)-arg1(np)-arg2(pp)	thank.01	thank
arg0(np)-v(v)-arg1(np)-arg2(c("s", "vp"))	spend.02	spend
arg0(np)-v(v)-arg1(np)-arg2(pp)	write.01	write
arg0(np)-v(v)-arg2(np)-arg1(np)	bring.01	bring
arg0(np)-v(v)-arg2(np)-arg1(np)	bring.01	bring
arg0(np)-v(v)-arg1(np)-arg2(rp)	get.05	get
arg0(np)-v(v)-arg1(np)-arg2(pp)	fill.01	fill
arg0(np)-v(v)-arg1(np)-arg2(sbar)	alert.01	alert
arg0(np)-v(v)-arg1(np)-arg2(pp)	stab.01	stab
arg0(np)-v(v)-arg1(np)-arg2(pp)	stab.01	stab
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01	give
arg0(np)-v(v)-arg1(np)-arg2(pp)	throw.01	throw
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01	give
arg0(np)-v(v)-arg2(np)-arg1(np)	show.01	show
arg0(np)-v(v)-arg1(np)-arg2(pp)	take.01	take
arg0(np)-v(v)-arg1(np)-arg2(pp)	keep.04	keep
arg0(np)-v(v)-arg1(np)-arg2(pp)	take.01	take
arg0(np)-v(v)-arg1(np)-arg2(in)	call.01	call
arg0(np)-v(v)-arg1(np)-arg2(pp)	take.01	take
arg0(np)-v(v)-arg1(np)-arg2(pp)	take.01	take
arg0(np)-v(v)-arg1(np)-arg2(pp)	take.01	take
arg0(np)-v(v)-arg2(np)-arg1(np)	show.01	show
arg0(np)-v(v)-arg1(np)-arg2(c("s", "vp"))	join.04	join
arg0(np)-v(v)-arg2(np)-arg1(np)	show.01	show
arg0(np)-v(v)-arg1(np)-arg2(pp)	spend.01	spend
arg0(np)-v(v)-arg1(np)-arg2(pp)	do.02	do
arg0(np)-v(v)-arg1(np)-arg2(pp)	put.01	put
arg0(np)-v(v)-arg1(np)-arg2(pp)	stick.01	stick
arg0(np)-v(v)-arg1(np)-arg2(pp)	put.03	put
arg0(np)-v(v)-arg1(np)-arg2(pp)	join.04	join
arg0(np)-v(v)-arg1(np)-arg2(pp)	open.01	open
arg0(np)-v(v)-arg1(np)-arg2(rb)	put.01	put
arg0(np)-v(v)-arg1(np)-arg2(pp)	hear.01	hear
arg0(np)-v(v)-arg1(np)-arg2(pp)	stick.01	stick
arg0(np)-v(v)-arg1(np)-arg2(pp)	preclude.01	preclude
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01	give
arg0(np)-v(v)-arg1(np)-arg2(pp)	discuss.01	discuss
arg0(np)-v(v)-arg1(np)-arg2(pp)	put.01	put
arg0(np)-v(v)-arg2(np)-arg1(np)	tell.01	tell
arg1(np)-arg0(np)-v(v)-arg2(np)	show.01	show
arg0(np)-v(v)-arg1(np)-arg2(np)	call.01	call
arg0(np)-v(v)-arg1(np)-arg2(pp)	comfort.01	comfort
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01	give
arg0(np)-v(v)-arg1(np)-arg2(sbar)	praise.01	praise
arg0(np)-v(v)-arg2(rp)-arg1(np)	put.01	put
arg0(np)-v(v)-arg1(np)-arg2(pp)	throw.01	throw
arg0(np)-v(v)-arg2(np)-arg1(np)	do.02	do
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01	give
arg0(np)-v(v)-arg1(np)-arg2(pp)	condemn.01	condemn
arg0(np)-v(v)-arg2(np)-arg1(np)	wish.01	wish
arg0(np)-v(v)-arg1(np)-arg2(pp)	share.01	share
arg0(np)-v(v)-arg1(np)-arg2(pp)	put.01	put
arg0(np)-v(v)-arg1(np)-arg2(pp)	put.01	put
arg0(np)-v(v)-arg1(np)-arg2(pp)	thank.01	thank
arg0(np)-v(v)-arg1(np)-arg2(vp)	encourage.01	encourage
arg0(np)-v(v)-arg1(np)-arg2(rb)	get.05	get
arg0(np)-v(v)-arg1(np)-arg2(np)	call.01	call
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01	give
arg1(np)-arg0(np)-v(v)-arg2(pp)	know.01	know
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01	give
arg0(np)-v(v)-arg1(np)-arg2(pp)	feel.01	feel
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01	give
arg0(np)-v(v)-arg1(np)-arg2(pp)	put.01	put
arg0(np)-v(v)-arg1(np)-arg2(pp)	shock.01	shock
arg0(np)-v(v)-arg1(np)-arg2(pp)	awe.01	awe
arg0(np)-v(v)-arg1(np)-arg2(pp)	put.01	put
arg0(np)-v(v)-arg2(np)-arg1(np)	tell.01	tell
arg0(np)-v(v)-arg1(np)-arg2(c("s", "vp"))	take.01	take
arg0(np)-v(v)-arg1(np)-arg2(pp)	take.01	take
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01	give
arg0(np)-v(v)-arg1(np)-arg2(pp)	provide.01	provide
arg0(np)-v(v)-arg1(np)-arg2(pp)	respect.01	respect
arg0(np)-v(v)-arg1(np)-arg2(pp)	characterize.01	characterize
arg0(np)-v(v)-arg1(np)-arg2(pp)	put.01	put
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01	give
arg0(np)-v(v)-arg1(np)-arg2(sbar)	kid.01	kid
arg1(np)-arg0(np)-v(v)-arg2(pp)	hear.01	hear
arg1(np)-arg0(np)-v(v)-arg2(prp)	tell.01	tell
arg1(np)-arg0(np)-v(v)-arg2(pp)	put.01	put
arg0(np)-v(v)-arg1(np)-arg2(pp)	criticize.01	criticize
arg1(np)-arg0(np)-v(v)-arg2(np)	give.01	give
arg0(np)-v(v)-arg1(np)-arg2(pp)	extend.01	extend
arg0(np)-v(v)-arg1(np)-arg2(pp)	put.01	put
arg0(np)-v(v)-arg1(np)-arg2(pp)	put.01	put
arg0(np)-v(v)-arg1(np)-arg2(pp)	accuse.01	accuse
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01	give
arg0(np)-v(v)-arg1(np)-arg2(pp)	free.01	free
arg0(np)-v(v)-arg1(np)-arg2(pp)	put.01	put
arg0(np)-v(v)-arg1(np)-arg2(pp)	extend.01	extend
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01	give
arg0(np)-v(v)-arg2(np)-arg1(np)	tell.01	tell
arg0(np)-v(v)-arg1(np)-arg2(pp)	leave.12	leave
arg0(np)-v(v)-arg1(np)-arg2(pp)	spend.02	spend
arg1(np)-arg0(np)-v(v)-arg2(pp)	hear.01	hear
arg0(np)-v(v)-arg1(np)-arg2(advp)	send.01	send
arg0(np)-v(v)-arg1(np)-arg2(sbar)	assure.01	assure
arg0(np)-v(v)-arg1(np)-arg2(np)	call.01	call
arg0(np)-v(v)-arg1(np)-arg2(pp)	put.01	put
arg0(np)-v(v)-arg1(np)-arg2(rb)	send.01	send
arg0(np)-v(v)-arg2(np)-arg1(np)	send.01	send
arg0(np)-v(v)-arg1(np)-arg2(pp)	thank.01	thank
arg0(np)-v(v)-arg1(np)-arg2(pp)	get.01	get
arg0(np)-v(v)-arg1(np)-arg2(vp)	prompt.02	prompt
arg0(np)-v(v)-arg2(rb)-arg1(np)	bring.01	bring
arg0(np)-v(v)-arg2(rp)-arg1(np)	put.03	put
arg0(np)-v(v)-arg1(np)-arg2(pp)	spend.02	spend
arg0(np)-v(v)-arg1(np)-arg2(pp)	discuss.01	discuss
arg0(np)-v(v)-arg1(np)-arg2(np)	call.01	call
arg0(np)-v(v)-arg1(np)-arg2(pp)	drag.01	drag
arg0(np)-v(v)-arg2(rp)-arg1(np)	lay.01	lie
arg0(np)-v(v)-arg1(np)-arg2(pp)	send.01	send
arg0(np)-v(v)-arg1(np)-arg2(pp)	pose.02	pose
arg0(np)-v(v)-arg2(np)-arg1(np)	ask.01	ask
arg0(np)-v(v)-arg1(np)-arg2(pp)	give.01	give
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01	give
arg0(np)-v(v)-arg2(np)-arg1(np)	tell.01	tell
arg0(np)-v(v)-arg1(np)-arg2(pp)	hear.01	hear
arg0(np)-v(v)-arg1(np)-arg2(pp)	charge.05	charge
arg0(np)-v(v)-arg1(np)-arg2(pp)	thank.01	thank
arg0(np)-v(v)-arg2(np)-arg1(np)	show.01	show
arg0(np)-v(v)-arg1(np)-arg2(pp)	accept.01	accept
arg0(np)-v(v)-arg2(np)-arg1(np)	tell.01	tell
arg0(np)-v(v)-arg1(np)-arg2(dt)	promise.01	promise
arg0(np)-v(v)-arg1(np)-arg2(c("sbar", "s"))	promise.01	promise
arg0(np)-v(v)-arg1(np)-arg2(pp)	get.01	get
arg0(np)-v(v)-arg2(np)-arg1(np)	tell.01	tell
arg0(np)-v(v)-arg1(np)-arg2(pp)	sue.02	sue
arg0(np)-v(v)-arg1(np)-arg2(pp)	serve.04	serve
arg0(np)-v(v)-arg1(np)-arg2(pp)	take.01	take
arg0(np)-v(v)-arg1(np)-arg2(pp)	take.01	take
arg0(np)-v(v)-arg1(np)-arg2(pp)	blame.01	blame
arg0(np)-v(v)-arg1(np)-arg2(pp)	fault.01	fault
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01	give
arg0(np)-v(v)-arg1(np)-arg2(c("sbar", "s"))	assure.01	assure
arg0(np)-v(v)-arg1(np)-arg2(pp)	condemn.01	condemn
arg0(np)-v(v)-arg1(np)-arg2(pp)	blame.01	blame
arg1(np)-arg0(np)-v(v)-arg2(rb)	think.01	think
arg0(np)-v(v)-arg2(np)-arg1(np)	ask.01	ask
arg1(np)-arg0(np)-v(v)-arg2(pp)	share.01	share
arg0(np)-v(v)-arg1(np)-arg2(pp)	put.01	put
arg0(np)-v(v)-arg1(np)-arg2(pp)	link.01	link
arg0(np)-v(v)-arg1(np)-arg2(c("s", "vp"))	force.01	force
arg0(np)-v(v)-arg2(np)-arg1(np)	tell.01	tell
arg0(np)-v(v)-arg1(np)-arg2(pp)	take.01	take
arg0(np)-v(v)-arg1(np)-arg2(pp)	force.01	force
arg0(np)-v(v)-arg1(np)-arg2(rb)	put.03	put
arg0(np)-v(v)-arg1(np)-arg2(pp)	put.01	put
arg0(np)-v(v)-arg1(np)-arg2(pp)	take.01	take
arg0(np)-v(v)-arg2(np)-arg1(np)	wish.01	wish
arg0(np)-v(v)-arg1(np)-arg2(pp)	register.02	register
arg0(np)-v(v)-arg1(np)-arg2(sbar)	convince.01	convince
arg0(np)-v(v)-arg2(np)-arg1(np)	leave.12	leave
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01	give
arg0(np)-v(v)-arg2(rp)-arg1(np)	lay.01	lay
arg0(np)-v(v)-arg1(np)-arg2(pp)	press.01	press
arg0(np)-v(v)-arg1(np)-arg2(pp)	take.01	take
arg0(np)-v(v)-arg1(np)-arg2(np)	consider.02	consider
arg0(np)-v(v)-arg1(np)-arg2(pp)	respect.01	respect
arg1(np)-arg0(np)-v(v)-arg2(pp)	hear.01	hear
arg0(np)-v(v)-arg1(np)-arg2(pp)	charge.05	charge
arg0(np)-v(v)-arg2(np)-arg1(np)	tell.01	tell
arg0(np)-v(v)-arg1(np)-arg2(pp)	compare.01	compare
arg0(np)-v(v)-arg1(np)-arg2(vp)	hold.03	hold
arg0(np)-v(v)-arg1(np)-arg2(pp)	solve.01	solve
arg0(np)-v(v)-arg1(np)-arg2(pp)	pay.01	pay
arg0(np)-v(v)-arg1(np)-arg2(pp)	register.02	register
arg1(np)-arg0(np)-v(v)-arg2(pp)	require.01	require
arg0(np)-v(v)-arg1(np)-arg2(pp)	put.01	put
arg0(np)-v(v)-arg1(np)-arg2(rb)	get.05	get
arg0(np)-v(v)-arg1(np)-arg2(pp)	keep.04	keep
arg0(np)-v(v)-arg1(np)-arg2(np)	call.01	call
arg0(np)-v(v)-arg1(np)-arg2(pp)	put.01	put
arg0(np)-v(v)-arg1(np)-arg2(np)	call.01	call
arg0(np)-v(v)-arg2(np)-arg1(np)	ask.01	ask
arg0(np)-v(v)-arg1(np)-arg2(pp)	separate.01	separate
arg0(np)-v(v)-arg1(np)-arg2(pp)	drive.02	drive
arg0(np)-v(v)-arg1(np)-arg2(pp)	pay.01	pay
arg0(np)-v(v)-arg2(np)-arg1(np)	ask.01	ask
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01	give
arg2(wp)-arg0(np)-v(v)-arg1(np)	call.01	call
arg1(np)-arg0(np)-v(v)-arg2(np)	ask.01	ask
arg0(np)-v(v)-arg1(np)-arg2(pp)	put.01	put
arg0(np)-v(v)-arg1(np)-arg2(pp)	put.01	put
arg0(np)-v(v)-arg1(np)-arg2(pp)	learn.01	learn
arg0(np)-v(v)-arg1(np)-arg2(rb)	spend.02	spend
arg0(np)-v(v)-arg1(np)-arg2(pp)	spend.02	spend
arg0(np)-v(v)-arg2(np)-arg1(np)	tell.01	tell
arg0(np)-v(v)-arg1(np)-arg2(pp)	breathe.01	breathe
arg0(np)-v(v)-arg1(np)-arg2(in)	breathe.01	breathe
arg2(wdt)-arg0(np)-v(v)-arg1(np)	call.01	call
arg0(np)-v(v)-arg1(np)-arg2(pp)	send.01	send
arg0(np)-v(v)-arg1(np)-arg2(pp)	accuse.01	accuse
arg0(np)-v(v)-arg2(np)-arg1(np)	ask.01	ask
arg0(np)-v(v)-arg1(np)-arg2(pp)	educate.01	educate
arg0(np)-v(v)-arg1(np)-arg2(pp)	stick.01	stick
arg0(np)-v(v)-arg1(np)-arg2(pp)	take.01	take
arg0(np)-v(v)-arg1(np)-arg2(pp)	accuse.01	accuse
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01	give
arg1(np)-arg0(np)-v(v)-arg2(np)	give.01	give
arg1(np)-arg0(np)-v(v)-arg2(np)	give.01	give
arg1(np)-arg0(np)-v(v)-arg2(np)	give.01	give
arg1(np)-arg0(np)-v(v)-arg2(np)	give.01	give
arg0(np)-v(v)-arg1(np)-arg2(vp)	call.01	call
arg0(np)-v(v)-arg1(np)-arg2(c("s", "vp"))	urge.01	urge
arg0(np)-v(v)-arg1(np)-arg2(pp)	punish.01	punish
arg0(np)-v(v)-arg1(np)-arg2(np)	call.01	call
arg0(np)-v(v)-arg1(np)-arg2(np)	call.01	call
arg0(np)-v(v)-arg1(np)-arg2(pp)	put.01	put
arg0(np)-v(v)-arg1(np)-arg2(pp)	put.01	put
arg0(np)-v(v)-arg1(np)-arg2(c("s", "vp"))	invite.01	invite
arg0(np)-v(v)-arg1(np)-arg2(c("s", "vp"))	spend.02	spend
arg0(np)-v(v)-arg1(np)-arg2(pp)	spend.02	spend
arg0(np)-v(v)-arg1(np)-arg2(pp)	remove.01	remove
arg0(np)-v(v)-arg2(np)-arg1(np)	tell.01	tell
arg0(np)-v(v)-arg2(pp)-arg1(np)	request.01	request
arg0(np)-v(v)-arg1(np)-arg2(rp)	get.05	get
arg0(np)-v(v)-arg1(np)-arg2(pp)	get.01	get
arg0(np)-v(v)-arg1(np)-arg2(c("s", "vp"))	use.01	use
arg0(np)-v(v)-arg1(np)-arg2(pp)	use.01	use
arg0(np)-v(v)-arg1(np)-arg2(np)	call.01	call
arg0(np)-v(v)-arg1(np)-arg2(np)	call.01	call
arg0(np)-v(v)-arg1(np)-arg2(pp)	take.01	take
arg0(np)-v(v)-arg1(np)-arg2(pp)	put.01	put
arg0(np)-v(v)-arg2(np)-arg1(np)	tell.01	tell
arg2(wrb)-arg0(np)-v(v)-arg1(np)	take.01	take
arg0(np)-v(v)-arg1(np)-arg2(pp)	convey.01	convey
arg2(wp)-arg0(np)-v(v)-arg1(np)	call.01	call
arg0(np)-v(v)-arg1(np)-arg2(pp)	collect.01	collect
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01	give
arg0(np)-v(v)-arg1(np)-arg2(pp)	look.01	look
arg0(np)-v(v)-arg1(np)-arg2(pp)	stop.03	stop
arg0(np)-v(v)-arg1(np)-arg2(pp)	delay.01	delay
arg0(np)-v(v)-arg1(np)-arg2(pp)	take.01	take
arg0(np)-v(v)-arg1(np)-arg2(pp)	get.05	get
arg0(np)-v(v)-arg1(np)-arg2(pp)	keep.04	keep
arg0(np)-v(v)-arg1(np)-arg2(pp)	keep.04	keep
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01	give
arg0(np)-v(v)-arg1(np)-arg2(pp)	talk.02	talk
arg0(np)-v(v)-arg1(np)-arg2(pp)	thank.01	thank
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01	give
arg0(np)-v(v)-arg1(np)-arg2(pp)	do.02	do
arg0(np)-v(v)-arg1(np)-arg2(pp)	blame.01	blame
arg2(wdt)-arg0(np)-v(v)-arg1(np)	call.01	call
arg0(np)-v(v)-arg1(np)-arg2(pp)	take.01	take
arg0(np)-v(v)-arg1(np)-arg2(pp)	view.02	view
arg0(np)-v(v)-arg1(np)-arg2(np)	elect.01	elect
arg0(np)-v(v)-arg1(np)-arg2(pp)	entrust.01	entrust
arg0(np)-v(v)-arg1(np)-arg2(pp)	put.01	put
arg0(np)-v(v)-arg1(np)-arg2(pp)	spend.02	spend
arg0(np)-v(v)-arg1(np)-arg2(pp)	subject.01	subject
arg0(np)-v(v)-arg1(np)-arg2(pp)	send.01	send
arg0(np)-v(v)-arg1(np)-arg2(pp)	give.01	give
arg0(np)-v(v)-arg1(np)-arg2(pp)	take.01	take
arg0(np)-v(v)-arg2(np)-arg1(np)	show.01	show
arg0(np)-v(v)-arg1(np)-arg2(pp)	get.05	get
arg0(np)-v(v)-arg1(np)-arg2(pp)	hold.03	hold
arg0(np)-v(v)-arg1(np)-arg2(rb)	get.05	get
arg0(np)-v(v)-arg1(np)-arg2(pp)	hold.03	hold
arg0(np)-v(v)-arg2(np)-arg1(np)	tell.01	tell
arg0(np)-arg2(np)-v(v)-arg1(np)	finance.01	finance
arg0(np)-v(v)-arg2(np)-arg1(np)	show.01	show
arg0(np)-v(v)-arg1(np)-arg2(c("s", "vp"))	spend.02	spend
arg0(np)-v(v)-arg1(np)-arg2(advp)	leave.12	leave
arg0(np)-v(v)-arg1(np)-arg2(vp)	take.01	take
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01	give
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01	give
arg0(np)-v(v)-arg1(np)-arg2(rp)	put.01	put
arg1(np)-arg0(np)-v(v)-arg2(np)	tell.01	tell
arg0(np)-v(v)-arg2(np)-arg1(np)	show.01	show
arg0(np)-v(v)-arg1(np)-arg2(pp)	credit.01	credit
arg0(np)-v(v)-arg2(np)-arg1(np)	ask.01	ask
arg0(np)-v(v)-arg2(np)-arg1(np)	show.01	show
arg0(np)-v(v)-arg1(np)-arg2(pp)	put.01	put
arg0(np)-v(v)-arg1(np)-arg2(pp)	take.01	take
arg0(np)-v(v)-arg1(np)-arg2(rb)	leave.12	leave
arg0(np)-v(v)-arg1(np)-arg2(sbar)	convince.01	convince
arg0(np)-v(v)-arg1(np)-arg2(pp)	take.01	take
arg0(np)-v(v)-arg1(np)-arg2(pp)	protect.01	protect
arg0(np)-v(v)-arg1(np)-arg2(pp)	drag.01	drag
arg0(np)-v(v)-arg1(np)-arg2(pp)	define.01	define
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01	give
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01	give
arg0(np)-v(v)-arg1(np)-arg2(pp)	consider.02	consider
arg0(np)-v(v)-arg1(np)-arg2(vp)	convince.01	convince
arg0(np)-v(v)-arg2(rp)-arg1(np)	put.01	put
arg0(np)-v(v)-arg1(np)-arg2(pp)	receive.01	receive
v(v)-arg1(np)-arg2(pp)-arg0(np)	add.02	add
arg0(np)-v(v)-arg1(np)-arg2(pp)	apply.02	apply
arg0(np)-v(v)-arg1(np)-arg2(pp)	guide.01	guide
arg0(np)-v(v)-arg1(np)-arg2(sbar)	criticize.01	criticize
arg0(np)-v(v)-arg1(np)-arg2(c("s", "vp"))	use.01	use
arg0(np)-v(v)-arg1(np)-arg2(sbar)	accuse.01	accuse
arg0(np)-v(v)-arg1(np)-arg2(pp)	level.03	level
arg0(np)-v(v)-arg1(np)-arg2(pp)	get.05	get
arg0(np)-v(v)-arg2(rb)-arg1(np)	put.03	put
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01	give
arg0(np)-v(v)-arg2(np)-arg1(np)	give.01	give
arg1(np)-arg0(np)-v(v)-arg2(pp)	receive.01	receive
arg0(np)-v(v)-arg1(np)-arg2(pp)	bring.01	bring
arg0(np)-v(v)-arg1(np)-arg2(pp)	push.01	push
arg0(np)-v(v)-arg1(np)-arg2(pp)	give.01	give
arg0(np)-v(v)-arg1(np)-arg2(pp)	sell.01	sell
arg0(np)-v(v)-arg1(np)-arg2(pp)	rent.01	rent
arg0(np)-v(v)-arg1(np)-arg2(pp)	sell.01	sell
arg0(np)-v(v)-arg1(np)-arg2(c("s", "vp"))	use.01	use
arg0(np)-v(v)-arg1(np)-arg2(sbar)	inform.01	inform
arg0(np)-v(v)-arg1(np)-arg2(pp)	direct.01	direct
